Eric loves Yellow
Heather loves Yellow
Dennis loves Yellow
Ann loves Yellow
Margaret loves Yellow
Kenneth loves Yellow
Irene loves Yellow
first_name doesn't like yellow
Earl doesn't like yellow
Matthew doesn't like yellow
Kathryn doesn't like yellow
Kevin doesn't like yellow
Terry doesn't like yellow
Sean doesn't like yellow
Carl doesn't like yellow
Randy doesn't like yellow
Jeremy doesn't like yellow
Melissa doesn't like yellow
Ashley doesn't like yellow
Sandra doesn't like yellow
Kathy doesn't like yellow
Douglas doesn't like yellow
Alice doesn't like yellow
Michelle doesn't like yellow
Juan doesn't like yellow
Kevin doesn't like yellow
Karen doesn't like yellow
Henry doesn't like yellow
Kenneth doesn't like yellow
Douglas doesn't like yellow
Roger doesn't like yellow
Antonio doesn't like yellow
Carol doesn't like yellow
Lisa doesn't like yellow
Christopher doesn't like yellow
Adam doesn't like yellow
Kelly doesn't like yellow
Lillian doesn't like yellow
Henry doesn't like yellow
Philip doesn't like yellow
Kathryn doesn't like yellow
Eugene doesn't like yellow
Kevin doesn't like yellow
Anthony doesn't like yellow
Mildred doesn't like yellow
Earl doesn't like yellow
Helen doesn't like yellow
Kevin doesn't like yellow
Nicole doesn't like yellow
Russell doesn't like yellow
Julie doesn't like yellow
Lois doesn't like yellow
Albert doesn't like yellow
Kathleen doesn't like yellow
Paula doesn't like yellow
Kimberly doesn't like yellow
Jean doesn't like yellow
Edward doesn't like yellow
Anna doesn't like yellow
Ruth doesn't like yellow
Kathleen doesn't like yellow
Kathleen doesn't like yellow
Evelyn doesn't like yellow
Phyllis doesn't like yellow
Eugene doesn't like yellow
Clarence doesn't like yellow
Mary doesn't like yellow
Kimberly doesn't like yellow
Jacqueline doesn't like yellow
Beverly doesn't like yellow
Tina doesn't like yellow
Virginia doesn't like yellow
Todd doesn't like yellow
Brian doesn't like yellow
Charles doesn't like yellow
Martha doesn't like yellow
Kimberly doesn't like yellow
Linda doesn't like yellow
Angela doesn't like yellow
Steve doesn't like yellow
Peter doesn't like yellow
Ryan doesn't like yellow
Chris doesn't like yellow
Marilyn doesn't like yellow
Shawn doesn't like yellow
Cheryl doesn't like yellow
Tina doesn't like yellow
Harry doesn't like yellow
Michael doesn't like yellow
Adam doesn't like yellow
Todd doesn't like yellow
Judy doesn't like yellow
Victor doesn't like yellow
Doris doesn't like yellow
Alice doesn't like yellow
Carlos doesn't like yellow
Debra doesn't like yellow
Aaron doesn't like yellow
Jack doesn't like yellow
Irene doesn't like yellow
Alice doesn't like yellow
